ID,Name,Album,Release Date,Length (ms),Accousticness,Danceability,Energy,Instrumentalness,Valence,Liveliness,Loudness,Speechiness,Tempo,Time Signature,Popularity,Lyrics
6Epbwyzwuvkth72Su3hzhn,Aa Aa Bhi Ja,Teesri Kasam,01-01-1966,303813,0.896,0.519,0.499,0.00852,0.912,0.587,-8.974,0.0389,126.607,4,21,Rahegaa ishq teraa Khaak me milaake mujhe Hue hai ibtedaa me Ranj intehaa ke mujhe Aa aa bhi jaa Raat dhalane lagi ho Chaand chhupane chalaa Ho aa aa bhi jaa Raat dhalane lagi ho Chaand chhupane chalaa Ho aa aa bhi jaa Teri yaad me bekhabar Shamaa ki tarah raat bhar Teri yaad me bekhabar Shamaa ki tarah raat bhar Jali aarzu dil jalaa aa aa bhi jaa Raat dhalane lagi ho Chaand chhupane chalaa Ho aa aa bhi jaa Raat dhalane lagi ho Chaand chhupane chalaa Ho aa aa bhi jaa Ufak par khadi hai sahar Andheraa hai dil me idhar Ufak par khadi hai sahar Andheraa hai dil me idhar Wahi roz kaa silasilaa aa Aa bhi jaa raat dhalane lagi ho Chaand chhupane chalaa Ho aa aa bhi jaa Raat dhalane lagi ho Chaand chhupane chalaa Ho aa aa bhi jaa
47V0qQLPR02UhzcDvAsL1k,Aadmi Musafir Hai - Happy,Apnapan,01-01-1977,421600,0.979,0.292,0.471,0.822,0.761,0.407,-12.616,0.0447,85.65,4,44,Adami musafir hai aata hai jaata hai Aate jaate raste me yade chhodjaata hai Adami musafir hai aata hai jaata hai Aate jaate raste me yade chhodjaata hai Adami musafir hai adami musafir hai Jhoka hava ka pani ka rela Jhoka hava ka pani ka rela Mele me rah jaye jo akela Mele me rah jaye jo akela Vo phir akela hi rah jaata hai Adami musafir hai Aata hai jaata hai Aate jaate raste me Yade chhodjaata hai Kab chodta hai ye rog ji ko Kab chodta hai ye rog ji ko Dil bhul jaata hai jab kisi ko Dil bhul jaata hai jab kisi ko Wo bhulkar bhi yaad aaata hai Adami musafir hai Adami musafir hai Aata hai jaata hai Aata hai jaata hai Aate jaate raste me yade chhodjaata hai Adami musafir hai Adami musafir hai Kya sath laye kya chhodaaye Kya sath laye kya chhodaaye Raste me ham kya chhodaaye Raste me ham kya chhodaaye Mazil pe jaake yaad aata hai Adami musafir hai aata hai jaata hai Aate jaate raste me yade chhodjaata hai Jab dolati hai jivan ki naiya Jab dolati hai jivan ki naiya Koi to ban jaata hai khivaiya Koi kinare pe hi dub jaata hai Adami musafir hai aata hai jaata hai Aate jaate raste me yade chhodjaata hai Adami musafir hai aata hai jaata hai Aate jaate raste me yade chhodjaata hai Yade chhodjaata hai Yade chhodjaata hai Yade chhodjaata hai
2TOXCqdsGqHt8oRuDkJBCW,Aaja Aai Bahar,Raj Kumar,20-10-1964,334610,0.969,0.387,0.628,0.203,0.635,0.421,-6.186,0.0491,82.145,4,27,Aaja aai bahaar dil hai beqaraar O mere rajkumaar tere bin raha na jaye Aaja aai bahaar dil hai beqaraar O mere rajkumaar tere Bin raha na jaye aaja Julfo se jab bhi chale puravaai Julfo se jab bhi chale puravaai Tan mera tute tan mera tute Aayi agadaai aayi agadaai Dekhu baar baar teraa intazaar O mere rajkumaar tere Bin raha na jaye Aaja aai bahaar dil hai beqaraar O mere rajkumaar tereBin raha na jaye aaja Man me sunu mai teri muraliyaa Man me sunu mai teri muraliyaa Naachu mai chham-chham  Naachu mai chham-chham  Baaje paayaliyaa Baaje paayaliyaa Dil kaa taar-taar teri kare Pukaar o mere rajkumaar Tere bin raha na jaye Aaja aai bahaar dil hai beqaraar O mere rajkumaar tere Bin raha na jaye aaja Jal ki machhariyaa jal me hai pyaasi Jal ki machhariyaa jal me hai pyaasi Khushiyo ke din hai Khushiyo ke din hai Phir bhi udaasi phir bhi udaasi Lekar mera pyaar aaja ab ke baar O mere rajkumaar Tere bin raha na jaye Aaja aai bahaar dil hai beqaraar O mere rajkumaar tere Bin raha na jaye aaja
4DwuRbX8HDiiMtHMGsHP8P,Aaja Re Pyar Pukare,Dil Ne Phir Yaad Kiya,01-01-1966,214640,0.952,0.377,0.467,0.046,0.74,0.148,-7.755,0.032,80.309,4,25,Aaja re aaja re aaja re aa bhi ja Aaja re pyar pukare Naina to ro ro hare Koi na jane dard mera Ho koi na jane dard mera Aaja re pyar pukare Naina to ro ro hare Koi na jane dard mera Ho koi na jane dard mera Aaja re Luta deke sahara tere pyar ne Ho bairi hamko to mara tere pyar ne Luta deke sahara tere pyar ne Ho bairi hamko to mara tere pyar ne Teri yad to hamko rulaye re Kaha bhi na jaye re Aaja re pyar pukare Naina to ro ro haye Koi na jane dard mera Ho koi na jane dard mera Aaja re Chanda bichad na jaye teri chandani Aaja tujhko bulaye teri chandani Chanda bichad na jaye teri chandani Aaja tujhko bulaye teri chandani Ab aawaz du dil ghabraye re Chain na paye re Aaja re pyar pukare Naina to ro hare Koi na jane dard mera Koi na jane dard mera Aaja re aaja re aaja re
1sm6inWBz3rZkDR3BUe3eN,Aaja Teri Yaad Aayee,Charas,24-05-1976,341170,0.769,0.348,0.691,0,0.403,0.621,-7.118,0.0478,79.035,4,29,Dil insaan kaa ek taraazu Dil insaan kaa ek taraazu Jo insaaf ko tole Apni jagah par Pyaar hai qaayam Dharti ambar dole Sab se bada such Ek jagat mein Bhed anek jo khole Prem binaa jiwan sunaa Yeh paagal premi bole Ki aaja teri yaad aayi Ki aaja teri yaad aayi Ki aaja teri yaad aayi O baalam harjaai Ki aaja teri yaad aayi Ki aaja teri yaad aayi Ki aaja teri yaad aayi O baalam harjaai Ki aaja teri yaad aayi Ki aaja teri yaad aayi Zaalim kitni der laga di Zaalim kitni der laga di Tumne aate aate Ab aaye jo ab naa aate To hum jaan se jaate Dil diwaanaa diwane Ko ham kaise samjhate Dete ram duhayi Ki aaja teri yaad aayi Ki aaja teri yaad aayi Fursat bhi hai mausam bhi hai Fursat bhi hai mausam bhi hai Man hai rang raliyon mein Chhup gayi hai tu Khushboo ban ke Shayad in kaliyon mein Maine tujhko kitna Dhoondha awara galiyon mein Yeh awaaz lagaayi Ki aaja teri yaad aayi Ki aaja teri yaad aayi Mast hawa ne baat koi Mast hawa ne baat koi Aisi keh di kaanon mein Jaise koi madiraa bhar de Khaali paimaanon mein Tadpaa daalaa aaj machalte Dil ke armaanon ne Rut ne li angadai Ki aaja teri yaad aayi Ki aaja teri yaad aayi
4GQ2SQDXKdBDE8TAQ69jS1,Aajkal Paon Zaamin Par Nahin Padte,Ghar,09-02-1978,329659,0.873,0.507,0.445,0.00141,0.691,0.128,-9.112,0.0317,107.826,4,46,Aaj kal paon zameen par Naheen padate mere Aaj kal paon zameen par Naheen padate mere Bolo dekhaa hain kabhee Tumane muze udate huye Aaj kal paon zameen par Naheen padate mere Jab bhee thaamaa hain teraa Haath to dekhaa hain Jab bhee thaamaa hain teraa Haath to dekhaa hain Log kahate hain kee Bas haath kee rekhaa hain Hum ne dekhaa hain do Takadeeron ko judate huye Aaj kal paon zameen par Naheen padate mere Bolo dekhaa hain kabhee Tumane muze udate huye Aaj kal paon zameen par Naheen padate mere Neend see rahatee hai Halakaasaa nashaa rahataa hain Raat din aakhon mein Yek cheharaa basaa rahataa hain Par lagee aakhon ko dekhaa hain Kabhee udate huye Aaj kal paon zameen par Naheen padate mere Bolo dekhaa hain kabhee Tumane muze udate huye Aaj kal paon zameen par Naheen padate mere  Jaane kyaa hotaa hai Har baat pe kuchh hotaa hain Din mein kuchh hotaa hai Aaur raat mein kuchh hotaa hain Thaam lenaa jo kabhee Dekho humei udate huye Bolo dekhaa hain kabhee Tumane muze udate huye Aaj kal paon zameen par Naheen padate mere Bolo dekhaa hain kabhee Tumane muze udate huye Aaj kal paon zameen par Naheen padate mere
4s0x5SpmWFt0svQG9aANnE,"Aap Kyon Roye Jo Hamne Dastan Apni (From ""Woh Kaun Thi"")",Lag Ja Gale - Best of Lata Mangeshkar and Madan Mohan,28-02-2018,196350,0.981,0.477,0.304,0.0501,0.511,0.101,-10.555,0.0372,99.863,4,20,Jo hamane daastaa apani Sunaai aap kyun roye Jo hamane daastaa apani Sunaai aap kyun roye Tabaahi to hamaare Dil pe aai aap kyo roye  Hamaaraa dard-e-gam hai Ye ise kyo aap sahate hai Ye kyo aansu hamaare Aapaki aankho se bahate hai Gamo ki aag hamane khud Lagaai aap kyun roye Jo hamane daastaa apani Sunaai aap kyun roye Bahut roe magar ab Aapaki khaatir na royege Na apanaa chain khokar Aapakaa ham chain khoege Kayaamat aapake ashko ne Dhaai aap kyun roye Jo hamane daastaa apani Sunaai aap kyun roye  Na ye aansu ruke to Dekhiye ham bhi ro dege Ham apane aansuo me Chaand taaro ko dubo dege Fanaa ho jaaegi saari Khudaai aap kyun roye Jo hamane daastaa apani Sunaai aap kyun roye
7zwWqaYBkzy4k7GbqF636o,Aap Mujhe Achhe Lagne Lage,Jeene Ki Raah,01-01-1969,225626,0.97,0.487,0.425,0.172,0.774,0.394,-9.893,0.0503,141.128,3,26,Aap Mujhe Achhe Lagne Lage Sapne Sachche Lagne Lage Aha Aap Mujhe Achhe Lagne Lage Sapne Sachche Lagne Lage Nain Sari Rain Jagne Lage Aap Mujhe Achhe Lagne Lage Sapne Sachche Lagne Lage Nain Sari Rain Jagne Lage Aap Mujhe Achhe Lagne Lage Sapne Sachche Lagne Lage. Baate Yahi Hone Lagi Ganv Me Ho Baate Yahi Hone Lagi Ganv Me Ho Baate Yahi Hone Lagi Ganv Me Chhupati Phiru Mai Dhup Me Chhanv Me Janjire Faulad Ki Hain Panv Me Magar Chhan Chhananan Ghungharu Bajane Lage Aap Mujhe Achhe Lagne Lage Sapne Sachche Lagne Lage Nain Sari Rain Jagne Lage Aap Mujhe Achhe Lagne Lage Sapne Sachche Lagne Lage Ankhiyo Ko Bhed Kholna Aa Gaya Ankhiyo Ko Bhed Kholna Aa Gaya Hay Ankhiyo Ko Bhed Kholna Aa Gaya Mere Man Ko Bhi Dolana Aa Gaya Kamoshi Ko Bolana Aa Gaya Dekho Git Mere Mukh Pe Sajane Lage Aha Aap Mujhe Achhe Lagne Lage Nain Sari Rain Jagne Lage Ke Aap Mujhe Achhe Lagne Lage Sapne Sachche Lagne Lage
03Vs6b3jee5YNsJhNKwzej,Aawaz Deke Humen Tum Bulao,Professor,01-01-1962,188600,0.968,0.298,0.319,0.0386,0.579,0.124,-13.637,0.0413,159.159,5,29,Aawaaz de ke hame tum bulaao Mohabbat mein itna  Naa hum ko sataao  Aawaaz de ke hame tum bulaao  Mohabbat mein itna Naa hum ko sataao   Abhi to meri zindagi hai pareshaan  Kahin mar ke ho khaak  Bhi naa pareshaan Diye ki tarah se naa hum ko jalaao  Mohabbat mein itna  Naa hum ko sataao   Main saanson ke har taar Mein chhup rahaa hoon  Main dhadakan ke har raag  Mein bas rahaa hoon  Zaraa dil ki jaanib Nigaahein jhookaao  Mohabbat mein itna  Naa hum ko sataao   Na honge agar hum to rote rahoge Sadaa dil kaa daaman bhigote rahoge  Jo tum par mitaa ho use naa mitaao  Mohabbat mein itna Naa hum ko sataao Aawaaz de ke hame tum bulaao Mohabbat mein itna Naa hum ko sataao
4GDhR7LNoSzkk1Ksp8b5fg,Aayegi Zaroor Chitthi - Dulhan / Soundtrack Version,The Legend Forever - Lata Mangeshkar - Vol.4,01-01-2012,346520,0.787,0.378,0.648,3.36E-05,0.394,0.0989,-3.075,0.0422,121.011,4,18,aayegi jarur chithi mere nam ki sab dekhna aayegi jarur chithi mere nam ki sab dekhna hal mere dil ka ho logo sab dekhna aayegi jarur chithi mere nam ki sab dekhna aayegi jarur chithi mere nam ki sab dekhna fir pardeshiya aane laga hai fir pardeshiya aane laga hai palko pe gum ka badal chane laga hai chane laga hai baras padenge aasu ab dekhna aayegi jarur chithi mere nam ki sab dekhna aayegi jarur chithi mere nam ki sab dekhna karo etbar mera bat nahi jhuthi karo etbar mera bat nahi jhuthi tuta hai dil mera aas nahi tuti aas nahi tuti manega mera rutha rab dekhna aayegi jarur chithi mere nam ki sab dekhna aayegi jarur chithi mere nam ki sab dekhna sabko sunaungi mai jab ye khabariya sabko sunaungi mai jab ye khabariya laz ke mare jhuk jayegi najariya jayegi najriya kaap uthenge mere lab dekhna aayegi jarur chithi mere nam ki sab dekhna aayegi jarur chithi mere nam ki sab dekhna
